date,sp500,strategy,sp500Return,strategyReturn,holding,rebalanced
2015-08-17,100.000000,100.000000,0.0000000000,0.0000000000,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,0
2015-08-18,99.744590,100.403523,-0.0025541016,0.0040352250,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,0
2015-08-19,98.928335,98.276877,-0.0081834477,-0.0211809838,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-08-20,96.847997,96.737371,-0.0210287415,-0.0156649908,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-08-21,93.770212,96.856455,-0.0317795371,0.0012310064,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-08-24,90.081080,92.726387,-0.0393422643,-0.0426411228,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-08-25,88.869438,94.921549,-0.0134505664,0.0236735412,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-08-26,92.344703,95.932318,0.0391052873,0.0106484678,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-08-27,94.595068,96.482842,0.0243691772,0.0057386712,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-08-28,94.659408,96.904427,0.0006801649,0.0043695329,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-08-31,93.871819,98.365613,-0.0083202418,0.0150786285,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-09-01,91.102129,98.809362,-0.0295050181,0.0045112229,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-09-02,92.775165,98.936810,0.0183644036,0.0012898361,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-09-03,92.889856,98.826192,0.0012362221,-0.0011180651,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-09-04,91.472527,98.599203,-0.0152581672,-0.0022968521,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-09-08,93.773471,99.638545,0.0251544822,0.0105410745,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-09-09,92.476947,100.671742,-0.0138261319,0.0103694531,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-09-10,92.971641,99.396402,0.0053493836,-0.0126683009,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-09-11,93.395450,100.929960,0.0045584718,0.0154287102,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
2015-09-14,93.020166,100.335338,-0.0040182271,-0.0058914335,BKNG|CMX|CNG|COMS|HPC|LDG|NVR|SDS|TIE|VAT,1
